product_name,product_variant,product_image,avg_reviews,review_title,star_rating,review_date,review_content,helpful,variant,verified,review_images,author_profile,author_name
Scott International Men's Regular Fit T Shirt (Pack of 2) (2RN-BL-GR-XXL_Black & Grey_XX-Large),Size: 2XL,https://m.media-amazon.com/images/I/41dhbLM0GOL._AC_US60_SCLZZZZZZZ__.jpg,3.3 out of 5,Never buy this product!,1,11 Aug 2017,"Very poor quality. I had bought XL size but after a couple of washes, it has shrunk so much that even my younger brother who wears Medium size t-shirts can't wear it. The gray one is even worse. Looks like cheap product from a distance. Most of the 5-star reviews are fake.",8,Size: XL,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AFP2V4RFQ3FDLZQOM4YO2NTSM3NA,Amazon Customer
Scott International Men's Regular Fit T Shirt (Pack of 2) (2RN-BL-GR-XXL_Black & Grey_XX-Large),Size: 2XL,https://m.media-amazon.com/images/I/41dhbLM0GOL._AC_US60_SCLZZZZZZZ__.jpg,3.3 out of 5,1 sleeve was defected,3,26 Sep 2017,1 sleeve was defected,6,Size: M,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AFFRO32IQ3UHRUKWCCXZHRQOZ6VA,Vivek Kumar
Scott International Men's Regular Fit T Shirt (Pack of 2) (2RN-BL-GR-XXL_Black & Grey_XX-Large),Size: 2XL,https://m.media-amazon.com/images/I/41dhbLM0GOL._AC_US60_SCLZZZZZZZ__.jpg,3.3 out of 5,Value for money,5,17 Apr 2021,Good quality,,,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AHSMO6MXDNWWG7MBJHAPVAGMCSGQ,B C Rout
Scott International Men's Regular Fit T Shirt (Pack of 2) (2RN-BL-GR-XXL_Black & Grey_XX-Large),Size: 2XL,https://m.media-amazon.com/images/I/41dhbLM0GOL._AC_US60_SCLZZZZZZZ__.jpg,3.3 out of 5,Too short,3,14 May 2021,"Size chart doesn't seems to be accurate, as M size become too short for me with the product",,Size: M,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AH5EOHL26ZBCRVRM4JUTHIGLG6AA,mahesh kumar ramagiri
Scott International Men's Regular Fit T Shirt (Pack of 2) (2RN-BL-GR-XXL_Black & Grey_XX-Large),Size: 2XL,https://m.media-amazon.com/images/I/41dhbLM0GOL._AC_US60_SCLZZZZZZZ__.jpg,3.3 out of 5,not worth of money,2,24 Jul 2017,"i would recommend not to purchase this product,totally waste of money.",5,,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AGRZRVIZSCMVGB4JZ4IZLVHDBZIA,jaynt
Scott International Men's Regular Fit T Shirt (Pack of 2) (2RN-BL-GR-XXL_Black & Grey_XX-Large),Size: 2XL,https://m.media-amazon.com/images/I/41dhbLM0GOL._AC_US60_SCLZZZZZZZ__.jpg,3.3 out of 5,OK,3,19 Aug 2018,"Product quality and material good., but steach not good, what ever is your size take one size large.  Ex: if your size 'S'  then take 'M'",,Size: S,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AG7STQE46HFWGBCV7AWGMQI2CIOQ,Amazon Customer
Scott International Men's Regular Fit T Shirt (Pack of 2) (2RN-BL-GR-XXL_Black & Grey_XX-Large),Size: 2XL,https://m.media-amazon.com/images/I/41dhbLM0GOL._AC_US60_SCLZZZZZZZ__.jpg,3.3 out of 5,Good material,5,30 Oct 2020,Good material,,,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AHQR5KZWQ2YRR4KTWH4BVZ7MRYRA,welhilo kazhie
Scott International Men's Regular Fit T Shirt (Pack of 2) (2RN-BL-GR-XXL_Black & Grey_XX-Large),Size: 2XL,https://m.media-amazon.com/images/I/41dhbLM0GOL._AC_US60_SCLZZZZZZZ__.jpg,3.3 out of 5,Not recommended.,1,30 Oct 2017,The stitching has is gone after only 5days i dont know what to do.,2,Size: S,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AHOADEWFDYDXH5Z4AUK66MCN7NCQ,Amazon Customer
Scott International Men's Regular Fit T Shirt (Pack of 2) (2RN-BL-GR-XXL_Black & Grey_XX-Large),Size: 2XL,https://m.media-amazon.com/images/I/41dhbLM0GOL._AC_US60_SCLZZZZZZZ__.jpg,3.3 out of 5,Yes,2,20 Feb 2019,This is so bad it's.,One person found this helpful,Size: M,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AHQIYCOHZAOVORUMLXAOS3JW3SDA,No
Scott International Men's Regular Fit T Shirt (Pack of 2) (2RN-BL-GR-XXL_Black & Grey_XX-Large),Size: 2XL,https://m.media-amazon.com/images/I/41dhbLM0GOL._AC_US60_SCLZZZZZZZ__.jpg,3.3 out of 5,Excellent,5,22 May 2021,Excellent,,Size: 2XL,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AFXA5IW37UH6EH47CUER7AYOUNUQ,Dr Rahul Garg
"Scott International Combo of V-Neck T-shirt, Sleeveless Jacket and Round Neck.BSHV4_JSLV2_BSH2_XXL",Size: 2XL,https://m.media-amazon.com/images/I/51W4qVjP8OL._AC_US60_SCLZZZZZZZ__.jpg,3 out of 5,Short of Content,3,23 Aug 2019,The packet contains just the jacket and one round neck Tshirt. The third one was not there.,,Size: 2XL,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AF67FYFVALSAWZ7SWARIZ5UREWSQ,GOPINATH JAGIRDAR
EYEBOGLER Men's Striped Regular fit T-Shirt (T305_Yellow Dark Navy White L),Colour: Yellow Dark Navy White Size: L,https://m.media-amazon.com/images/I/41l+RXHXNwL._AC_US60_SCLZZZZZZZ__.jpg,4 out of 5,Good,5,03 Feb 2021,Nice product,20,Colour: Yellow Dark Navy White Size: 2XL,Yes,"https://images-na.ssl-images-amazon.com/images/I/A1mqu8TdIlL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/C1AwTkbNo1S._SY88.jpg",https://www.amazon.in/gp/profile/amzn1.account.AG332XZQRZAZFU3IZJEFA4SO63VA,Shaik shaheed
EYEBOGLER Men's Striped Regular fit T-Shirt (T305_Yellow Dark Navy White L),Colour: Yellow Dark Navy White Size: L,https://m.media-amazon.com/images/I/41l+RXHXNwL._AC_US60_SCLZZZZZZZ__.jpg,4 out of 5,Very nice,4,06 Jan 2021,Nyc,11,Colour: Yellow Dark Navy White Size: L,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AERCFTQUI6YJ6ZZSWPTUALFBPTTA,Sahina Rahaman
EYEBOGLER Men's Striped Regular fit T-Shirt (T305_Yellow Dark Navy White L),Colour: Yellow Dark Navy White Size: L,https://m.media-amazon.com/images/I/41l+RXHXNwL._AC_US60_SCLZZZZZZZ__.jpg,4 out of 5,Excellent,5,21 Dec 2020,"Colour same as shown , fabric is soft & size is perfect for my son.",8,Colour: Yellow Dark Navy White Size: XL,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AGUYKETPLMZ762DYMR4OBQ3CFGDA,Amazon Customer
EYEBOGLER Men's Striped Regular fit T-Shirt (T305_Yellow Dark Navy White L),Colour: Yellow Dark Navy White Size: L,https://m.media-amazon.com/images/I/41l+RXHXNwL._AC_US60_SCLZZZZZZZ__.jpg,4 out of 5,The supplier qc system is poor,1,15 Feb 2021,"Received a used , dirty , sweating smell, & Boblin product , oily patches etc highly dis- satisfied",5,Colour: Yellow Dark Navy White Size: M,Yes,"https://images-na.ssl-images-amazon.com/images/I/A1BWZmcbAJL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/A1d5WRyd9ZL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/A1sIX0SWbDL._SY88.jpg",https://www.amazon.in/gp/profile/amzn1.account.AGJUELOLR55KYMXIDFEE6TBQO2HA,Naveen
EYEBOGLER Men's Striped Regular fit T-Shirt (T305_Yellow Dark Navy White L),Colour: Yellow Dark Navy White Size: L,https://m.media-amazon.com/images/I/41l+RXHXNwL._AC_US60_SCLZZZZZZZ__.jpg,4 out of 5,good product,4,28 Dec 2020,very good,4,Colour: Yellow Dark Navy White Size: M,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AGN32N4YDHGZFQ43YDYGJYBURJ4A,sampa m.
EYEBOGLER Men's Striped Regular fit T-Shirt (T305_Yellow Dark Navy White L),Colour: Yellow Dark Navy White Size: L,https://m.media-amazon.com/images/I/41l+RXHXNwL._AC_US60_SCLZZZZZZZ__.jpg,4 out of 5,Superb..Amazing..Fit...Value of money,5,09 May 2021,Delivered in time Very nice soft cloth Quality of product is good. Color as per displayed. Very like 2nd order giving for my Son... Very comfortable Size perfect.,One person found this helpful,Colour: Yellow Dark Navy White Size: XL,Yes,"https://images-na.ssl-images-amazon.com/images/I/81Ae8UB+XwL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81cAX2fh+XL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81edgLbbmPL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81jW3NvNR-L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81pX+4pd8cL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81qLDO42ZZL._SY88.jpg",https://www.amazon.in/gp/profile/amzn1.account.AHGXGWGXX7OINLNQR2IVEOWLVD4A,BIJAY KUMAR SINGH
EYEBOGLER Men's Striped Regular fit T-Shirt (T305_Yellow Dark Navy White L),Colour: Yellow Dark Navy White Size: L,https://m.media-amazon.com/images/I/41l+RXHXNwL._AC_US60_SCLZZZZZZZ__.jpg,4 out of 5,Go for it. Excellent for summer,5,25 Mar 2021,Fabric is good. I bought all colours plus 2 whites. Size M,2,,Yes,"https://images-na.ssl-images-amazon.com/images/I/81WOar1b+JL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81wARMsyWsL._SY88.jpg",https://www.amazon.in/gp/profile/amzn1.account.AHCMB4XLMCX4ZGU5MLMAF3YAN6EQ,abhilash
EYEBOGLER Men's Striped Regular fit T-Shirt (T305_Yellow Dark Navy White L),Colour: Yellow Dark Navy White Size: L,https://m.media-amazon.com/images/I/41l+RXHXNwL._AC_US60_SCLZZZZZZZ__.jpg,4 out of 5,Beautiful,5,18 Mar 2021,"Material, colour and fitting...all perfect. I received a free prime, and got the product just in one day. Thank you so much Amazon",,Colour: Yellow Dark Navy White Size: XL,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AEC5FDQDUQCY7UOZBUOFWEOARRCA,Krish
EYEBOGLER Men's Striped Regular fit T-Shirt (T305_Yellow Dark Navy White L),Colour: Yellow Dark Navy White Size: L,https://m.media-amazon.com/images/I/41l+RXHXNwL._AC_US60_SCLZZZZZZZ__.jpg,4 out of 5,Overall good one,3,05 Apr 2021,"Material is too good and soft, comfortable. But the main issue is with colour. The colour of the dress totally different from what is shown in the photo of the dress. I am little bit disappointed.",,Colour: Yellow Dark Navy White Size: L,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AEJK3RALX3P7FHVIW42WTF4B7UNA,Anindita Mitra
EYEBOGLER Men's Striped Regular fit T-Shirt (T305_Yellow Dark Navy White L),Colour: Yellow Dark Navy White Size: L,https://m.media-amazon.com/images/I/41l+RXHXNwL._AC_US60_SCLZZZZZZZ__.jpg,4 out of 5,good quality and product as described,5,03 Mar 2021,good quality and product as described- truly value for money,,Colour: Yellow Dark Navy White Size: M,Yes,,https://www.amazon.in/gp/profile/amzn1.account.AFQKRDGJLTAZ3USYOWHC6QFB5DMQ,Shraddha S.
